Word,Conc.M,Conc.SD
像样,2.04,0.888819
小偷,4.296296,0.724028
心理,2.5,1.029563
型号,3.346154,1.093336
修订,3.384615,0.941357
血压,3.962963,1.091276
阳光,4.296296,1.102962
因素,2.115385,0.951921
阴险,2.346154,0.977438
影展,4.041667,0.907896
鱼饵,4.296296,0.6688
远亲,3.518519,0.848998
越洋,3.0,1.0
在意,2.259259,1.022538
择偶,3.384615,1.168826
展露,2.730769,1.002305
珍重,2.407407,1.185141
整理,3.461538,1.139501
种植,3.666667,1.074172
株连,2.153846,0.967153
专业,3.076923,1.055389
遵守,2.692308,1.289007
肮脏,2.78125,1.156591
胞弟,4.375,0.906962
备用,2.9375,1.075759
奔放,2.28125,1.170453
笔划,4.181818,0.846114
鞭策,2.393939,1.170988
辩论,3.151515,1.227834
标志,3.375,1.039541
缤纷,2.266667,0.980265
并重,1.9259259999999996,0.780824
博学,2.212121,0.857233
残酷,2.636364,1.19421
常见,2.78125,1.128355
怅然,2.064516,0.813858
吃苦,2.878788,1.192623
齿轮,4.333333,0.989529
抽筋,3.848485,0.870388
闯祸,3.21875,1.039056
撮合,2.8125,0.997982
打仗,3.84375,0.987319
低音,3.545455,1.063335
底片,3.969697,1.045372
恫吓,2.40625,1.160072
赌徒,4.060606,1.028937
厄运,2.4375,1.075759
噩梦,2.818182,1.33357
儿童,4.575758,0.560708
发扬,2.272727,0.977008
反扑,2.419355,0.847514
方法,2.545455,1.148121
诽谤,2.606061,1.116339
伏特,2.9375,1.435439
改观,2.30303,1.015038
干杯,3.939394,1.14399
干劲,2.5625,0.948258
告发,2.939394,1.116339
估价,3.060606,1.058873
骨头,4.393939,0.899284
怪诞,2.032258,1.016001
关节,4.333333,0.816497
过程,2.515152,1.202113
还手,3.30303,1.045372
号称,2.580645,1.088552
合作,3.25,1.04727
核对,3.424242,1.14647
烘烤,4.060606,1.058873
华裔,4.34375,0.745281
魂魄,1.5999999999999996,0.770132
极品,2.4375,0.948258
加工,3.484848,0.939455
假扮,3.030303,1.07485
解梦,2.090909,1.041742
巾帼,3.28125,0.991394
晋见,2.903226,1.274228
精确,3.060606,1.087985
旧制,2.903226,1.247794
看到,3.848485,0.90558
渴望,2.484848,1.064225
蓝天,4.4848479999999995,0.712444
勒令,2.935484,1.12355
联赛,3.878788,0.92728
凌厉,2.30303,0.98377
羚羊,4.848485,0.36411
绿洲,4.03125,0.999496
冒雨,3.818182,0.808337
没趣,2.322581,0.908739
猛兽,3.787879,0.819969
蘑菇,4.757576,0.50189
陌生,2.625,0.906962
内功,2.129032,1.175923
排球,4.666667,0.777282
炮火,4.121212,0.92728
切割,3.636364,0.994302
秦朝,4.25,0.879883
取消,3.3125,1.255632
全国,3.787879,1.192623
确定,3.545455,1.120572
少女,4.121212,0.819969
审查,3.090909,1.15552
失手,2.818182,0.982807
收服,2.8125,1.090649
手笔,2.766667,1.072648
手枪,4.787879,0.415149
束缚,2.30303,0.98377
竖立,3.151515,1.064225
甩开,2.848485,1.003781
苏打,4.15625,0.766617
素材,3.121212,1.293193
算数,3.21875,1.288519
隧道,4.5454550000000005,0.904534
塔顶,4.4545449999999995,0.832575
太好,2.354839,0.984831
天敌,3.121212,1.192623
吞吐,2.727273,1.068665
挽回,2.727273,0.910794
危险,2.939394,1.273268
胃酸,4.060606,0.966288
文件,4.090909,0.879049
卧底,3.5625,0.877588
喜讯,3.393939,1.116339
衔接,2.774194,0.990275
现实,2.969697,1.31065
享用,2.909091,1.15552
消极,2.181818,0.950478
小我,2.137931,1.025536
孝敬,3.121212,1.192623
星光,3.757576,0.867118
哑铃,4.787879,0.415149
眼花,2.818182,0.982807
演讲,3.939394,0.863836
燕窝,4.5151520000000005,0.90558
养育,2.878788,1.139012
药厂,4.4848479999999995,0.66714
椰子,4.727273,0.875811
夜景,3.757576,0.969223
腋下,4.4848479999999995,0.618527
义气,2.28125,0.991394
驿站,3.787879,1.053493
有心,2.242424,0.867118
越狱,4.0,0.707107
早报,4.212121,0.780928
质问,2.848485,0.97215
赘言,2.642857,1.161553
钻探,3.333333,1.184187
奥运,3.878788,1.111237
搬运,4.060606,0.78817
宝座,3.575758,1.118881
抱怨,2.454545,0.904534
悲剧,2.242424,0.936426
便衣,3.333333,1.108678
餐桌,4.727273,0.452267
侧重,2.242424,0.969223
差额,2.967742,1.110071
孱弱,2.40625,1.011526
沉痛,2.30303,1.045372
代理,3.060606,1.116339
弹性,2.575758,1.118881
登录,3.75,0.915811
地牢,4.0,1.198958
递补,2.571429,0.959497
肚脐,4.606061,0.704423
队形,3.96875,0.822442
防守,3.272727,1.008487
分心,2.636364,1.05529
干洗,4.0,0.901388
攻守,2.939394,0.966288
鼓掌,4.212121,1.053493
刮风,4.151515,0.755034
官长,3.766667,1.072648
管乐,3.818182,0.982807
广播,4.090909,0.913908
鬼混,2.0,0.968246
囫囵,2.064516,0.89202
花蜜,4.060606,1.028937
化石,4.424242,0.791766
环保,3.030303,0.951474
急救,3.848485,0.833712
忌日,3.78125,1.128355
寄托,2.0,0.935414
家庭,3.818182,1.073969
尖端,2.84375,0.954087
检讨,3.212121,0.92728
见笑,2.272727,1.068665
缴械,3.363636,1.11294
戒毒,4.090909,1.100103
紧急,2.78125,1.263236
进取,2.515152,1.227834
禁毒,3.666667,1.190238
境界,1.75,1.077632
纠缠,2.454545,0.971175
久远,2.69697,1.103541
臼齿,4.133333,1.074255
剧本,4.090909,1.041742
绝望,2.424242,0.867118
犒劳,2.787879,1.243925
可靠,2.636364,1.05529
可取,2.741935,1.031754
空隙,3.15625,1.110344
来源,2.848485,1.064225
蓝图,2.4375,1.216486
寥寥,1.969697,0.883348
镣铐,4.060606,0.933387
轮奸,4.0,1.077632
屡次,2.806452,1.222548
麻烦,2.71875,1.197696
麦田,4.4545449999999995,0.616994
卖力,2.727273,1.097518
茂密,2.848485,1.034445
眉笔,4.666667,0.645497
门徒,3.625,1.070122
迷惘,1.8387099999999998,0.637536
免税,3.848485,1.093195
拇指,4.727273,0.516764
能量,2.363636,1.140674
念书,4.060606,0.998104
皮蛋,4.666667,0.692219
平民,3.96875,0.966683
凄凉,2.1875,0.737804
期望,2.060606,0.998104
起初,2.625,1.157026
抢救,3.8125,1.090649
清贫,2.848485,1.121417
丘脑,3.285714,1.511858
劝导,2.727273,1.039012
劝告,2.909091,1.208399
瘸腿,4.363636,0.895062
认真,2.69697,1.131505
日出,4.333333,0.889757
冗长,2.3125,1.029798
升值,3.0,1.319824
生活,2.727273,1.281423
圣灵,1.7000000000000002,0.876907
圣言,2.266667,1.048261
试探,2.606061,1.028937
赎罪,2.65625,1.180743
水手,4.272727,1.039012
瞬间,2.333333,1.050793
叹息,3.212121,0.92728
贴现,2.925926,1.238048
伟大,2.151515,1.202113
屋子,4.4848479999999995,0.833712
熄灭,3.575758,0.867118
鲜嫩,3.030303,1.185455
闲话,3.060606,0.933387
详尽,2.69697,0.98377
向上,3.28125,1.14256
胸襟,2.15625,1.050633
雄辩,2.8125,1.029798
雄姿,2.545455,1.120572
巡回,2.818182,1.130668
训斥,3.151515,1.093195
延误,2.90625,1.088336
研发,2.9375,1.189673
仰卧,4.242424,1.14647
野蛮,2.545455,0.832575
衣架,4.878788,0.331434
疫情,3.393939,1.223197
婴儿,4.757576,0.50189
影子,3.787879,1.317136
永眠,2.69697,1.357499
诱惑,2.272727,0.944482
展示,3.090909,1.128152
正职,3.65625,1.153099
支持,3.030303,1.211529
职员,4.272727,0.719059
重婚,3.939394,1.058873
诸侯,3.606061,1.028937
哀号,3.222222,1.2195
鹌鹑,4.666667,0.620174
版本,3.222222,1.086042
伴奏,3.730769,0.874423
必修,3.576923,1.301478
搏斗,4.222222,0.751068
不便,2.296296,0.91209
裁缝,4.5185189999999995,0.70002
苍蝇,4.846154,0.464095
茶几,4.666667,0.5547
蝉鸣,4.333333,0.679366
抄家,3.384615,1.061204
赤脚,4.259259,0.859006
抽象,1.5769229999999999,1.02657
除非,2.461538,0.947872
船员,4.5185189999999995,0.579812
大人,3.444444,1.012739
盗版,3.346154,1.056118
登岸,3.730769,0.961569
堤岸,4.076923,0.844894
电信,3.423077,1.205755
钓鱼,4.5185189999999995,0.509175
叠加,3.0,1.074172
洞察,2.730769,1.34336
对待,2.52,1.045626
多嘴,3.0,1.240347
耳朵,4.777778,0.640513
发福,3.5,0.989949
废墟,3.888889,0.847319
高层,3.16,1.027943
高攀,2.814815,1.144789
根本,2.208333,1.215092
购入,3.407407,1.118352
寡言,2.923077,1.128648
滚烫,3.708333,0.907896
国际,2.962963,1.400041
行政,3.037037,1.224163
航空,3.851852,1.06351
慌张,3.074074,1.14105
机器,3.888889,1.120897
纪录,3.481481,0.935224
纪律,3.148148,1.26198
加入,2.884615,1.070586
具体,2.884615,1.306198
